feature,importance_mean,importance_std
efg%_rank_weighted,0.15298673461134032,0.010748610954332114
usage_rank_weighted,0.03957069481517435,0.007751098463538095
stl%_rank_weighted,0.026697605759119968,0.005215562020821402
tov%_rank_weighted,0.020597751354849193,0.004076438673470604
astd%_rim_overall_rank_top2_avg,0.013668810159346467,0.0019983863134244335
onoff_team_halfcourt_putbacks:_pts/miss_rank_weighted,0.006364757744883931,0.002060147621693541
defense:_orb%_rank_top2_avg,0.004131278815821404,0.001732246640861977
foul%_rank_weighted,0.003973550109196844,0.0016364221343307733
offense:_pts/poss_rank_highest,0.003038299765429109,0.0008330507420065965
fgdr%_rank_weighted,0.0030170670549219737,0.0008678142206680029
onoff_opp_shot:_rim_rank_impact_top2_avg,0.0025903906818733557,0.001231103671487512
onoff_team_shot:_short_mid_rank_impact_weighted,0.0021222599692631737,0.0006661707173797745
onoff_opp_halfcourt_putbacks:_pts/miss_rank_top2_avg,0.0017340046914179452,0.0010427995303641995
offense:_pts/poss_rank_weighted,0.001051524710830709,0.00038490212292112327
defense:_pts/poss_rank_top2_avg,0.001042424977756229,0.0005519699141155794
blk%_rank_weighted,0.0009676049502547968,0.0002996982553210454
onoff_opp_transition_off_live_rebounds:_pts+/poss_rank_top2_avg,0.0007643775782577133,0.00023154427538284397
onoff_team_transition_off_steals:_pts+/poss_rank_top2_avg,0.0007138235056216135,0.00019067398558381433
astd%_rim_overall_rank_weighted,0.000572272102240623,0.00015414930718186595
onoff_team_shot:_corner_three_rank_impact_weighted,0.0002608590148022283,0.00012553707186897746
blk%_rank_top2_avg,0.0,0.0
blk%_rank_highest,0.0,0.0
stl%_rank_top2_avg,0.0,0.0
foul%_rank_highest,0.0,0.0
foul%_rank_top2_avg,0.0,0.0
stl%_rank_highest,0.0,0.0
fgor%_rank_highest,0.0,0.0
fgor%_rank_top2_avg,0.0,0.0
fgdr%_rank_highest,0.0,0.0
fgor%_rank_weighted,0.0,0.0
fgdr%_rank_top2_avg,0.0,0.0
ftor%_rank_highest,0.0,0.0
ftor%_rank_top2_avg,0.0,0.0
ftor%_rank_weighted,0.0,0.0
usage_rank_highest,0.0,0.0
and1%_rank_weighted,0.0,0.0
and1%_rank_top2_avg,0.0,0.0
and1%_rank_highest,0.0,0.0
ffld%_rank_weighted,0.0,0.0
ffld%_rank_top2_avg,0.0,0.0
ffld%_rank_highest,0.0,0.0
sfld%_rank_weighted,0.0,0.0
sfld%_rank_top2_avg,0.0,0.0
sfld%_rank_highest,0.0,0.0
ft%_rank_weighted,0.0,0.0
ft%_rank_top2_avg,0.0,0.0
ft%_rank_highest,0.0,0.0
ftdr%_rank_weighted,0.0,0.0
ftdr%_rank_top2_avg,0.0,0.0
ftdr%_rank_highest,0.0,0.0
offense:_efg%_rank_top2_avg,0.0,0.0
offense:_efg%_rank_weighted,0.0,0.0
offense:_tov%_rank_top2_avg,0.0,0.0
offense:_tov%_rank_highest,0.0,0.0
offense:_orb%_rank_highest,0.0,0.0
offense:_orb%_rank_top2_avg,0.0,0.0
offense:_orb%_rank_weighted,0.0,0.0
offense:_tov%_rank_weighted,0.0,0.0
offense:_ft_rate_rank_highest,0.0,0.0
ast:usg_rank_top2_avg,0.0,0.0
ast:usg_rank_highest,0.0,0.0
tov%_rank_top2_avg,0.0,0.0
ast:usg_rank_weighted,0.0,0.0
ast%_rank_weighted,0.0,0.0
ast%_rank_highest,0.0,0.0
usage_rank_top2_avg,0.0,0.0
defense:_efg%_rank_weighted,0.0,0.0
defense:_efg%_rank_top2_avg,0.0,0.0
defense:_efg%_rank_highest,0.0,0.0
defense:_pts/poss_rank_weighted,0.0,0.0
defense:_orb%_rank_highest,0.0,0.0
defense:_orb%_rank_weighted,0.0,0.0
defense:_tov%_rank_weighted,0.0,0.0
defense:_tov%_rank_highest,0.0,0.0
defense:_ft_rate_rank_top2_avg,0.0,0.0
defense:_ft_rate_rank_weighted,0.0,0.0
onoff_opp_halfcourt_halfcourt:_oreb%_rank_top2_avg,0.0,0.0
onoff_opp_halfcourt_halfcourt:_oreb%_rank_highest,0.0,0.0
onoff_opp_halfcourt_halfcourt:_oreb%_rank_weighted,0.0,0.0
onoff_opp_halfcourt_putbacks:_pts/miss_rank_highest,0.0,0.0
defense:_ft_rate_rank_highest,0.0,0.0
defense:_tov%_rank_top2_avg,0.0,0.0
onoff_opp_halfcourt_putbacks:_plays/miss_rank_highest,0.0,0.0
onoff_opp_halfcourt_putbacks:_pts/miss_rank_weighted,0.0,0.0
onoff_opp_transition_off_steals:_pts+/poss_rank_highest,0.0,0.0
onoff_opp_halfcourt_putbacks:_plays/miss_rank_top2_avg,0.0,0.0
onoff_opp_transition_off_steals:_pts+/poss_rank_top2_avg,0.0,0.0
onoff_opp_transition_off_steals:_pts+/poss_rank_weighted,0.0,0.0
onoff_opp_transition_off_live_rebounds:_pts+/poss_rank_highest,0.0,0.0
onoff_opp_halfcourt_putbacks:_plays/miss_rank_weighted,0.0,0.0
onoff_opp_transition_off_live_rebounds:_pts+/poss_rank_weighted,0.0,0.0
offense:_ft_rate_rank_top2_avg,0.0,0.0
offense:_ft_rate_rank_weighted,0.0,0.0
defense:_pts/poss_rank_highest,0.0,0.0
tov%_rank_highest,0.0,0.0
offense:_pts/poss_rank_top2_avg,0.0,0.0
offense:_efg%_rank_highest,0.0,0.0
ast%_rank_top2_avg,0.0,0.0
onoff_team_halfcourt_putbacks:_plays/miss_rank_top2_avg,0.0,0.0
onoff_team_halfcourt_putbacks:_plays/miss_rank_highest,0.0,0.0
onoff_team_halfcourt_putbacks:_pts/miss_rank_top2_avg,0.0,0.0
onoff_team_halfcourt_putbacks:_pts/miss_rank_highest,0.0,0.0
onoff_team_halfcourt_halfcourt:_oreb%_rank_top2_avg,0.0,0.0
onoff_team_halfcourt_halfcourt:_oreb%_rank_weighted,0.0,0.0
onoff_team_halfcourt_halfcourt:_oreb%_rank_highest,0.0,0.0
onoff_team_transition_off_live_rebounds:_pts+/poss_rank_highest,0.0,0.0
efg%_rank_highest,0.0,0.0
onoff_team_transition_off_live_rebounds:_pts+/poss_rank_weighted,0.0,0.0
onoff_team_transition_off_live_rebounds:_pts+/poss_rank_top2_avg,0.0,0.0
efg%_rank_top2_avg,0.0,0.0
astd%_rim_overall_rank_highest,0.0,0.0
astd%_mid_overall_rank_highest,0.0,0.0
onoff_team_transition_off_steals:_pts+/poss_rank_highest,0.0,0.0
onoff_team_halfcourt_putbacks:_plays/miss_rank_weighted,0.0,0.0
astd%_mid_overall_rank_weighted,0.0,0.0
astd%_three_overall_rank_highest,0.0,0.0
astd%_three_overall_rank_weighted,0.0,0.0
astd%_three_overall_rank_top2_avg,0.0,0.0
rim_rank_impact_highest,0.0,0.0
rim_rank_impact_top2_avg,0.0,0.0
rim_rank_impact_weighted,0.0,0.0
onoff_opp_shot:_rim_rank_impact_highest,0.0,0.0
onoff_opp_shot:_rim_rank_impact_weighted,0.0,0.0
onoff_team_shot:_rim_rank_impact_highest,0.0,0.0
onoff_team_shot:_rim_rank_impact_top2_avg,0.0,0.0
onoff_team_shot:_rim_rank_impact_weighted,0.0,0.0
short_mid_rank_impact_highest,0.0,0.0
short_mid_rank_impact_top2_avg,0.0,0.0
astd%_mid_overall_rank_top2_avg,0.0,0.0
onoff_team_transition_off_steals:_pts+/poss_rank_weighted,0.0,0.0
onoff_opp_shot:_short_mid_rank_impact_highest,0.0,0.0
short_mid_rank_impact_weighted,0.0,0.0
onoff_team_shot:_short_mid_rank_impact_highest,0.0,0.0
onoff_opp_shot:_short_mid_rank_impact_top2_avg,0.0,0.0
onoff_team_shot:_short_mid_rank_impact_top2_avg,0.0,0.0
long_mid_rank_impact_highest,0.0,0.0
long_mid_rank_impact_top2_avg,0.0,0.0
onoff_opp_shot:_short_mid_rank_impact_weighted,0.0,0.0
onoff_opp_shot:_long_mid_rank_impact_highest,0.0,0.0
onoff_opp_shot:_long_mid_rank_impact_top2_avg,0.0,0.0
onoff_opp_shot:_long_mid_rank_impact_weighted,0.0,0.0
onoff_team_shot:_long_mid_rank_impact_highest,0.0,0.0
onoff_team_shot:_long_mid_rank_impact_top2_avg,0.0,0.0
onoff_team_shot:_long_mid_rank_impact_weighted,0.0,0.0
corner_three_rank_impact_highest,0.0,0.0
long_mid_rank_impact_weighted,0.0,0.0
corner_three_rank_impact_top2_avg,0.0,0.0
corner_three_rank_impact_weighted,0.0,0.0
onoff_opp_shot:_corner_three_rank_impact_top2_avg,0.0,0.0
onoff_opp_shot:_corner_three_rank_impact_highest,0.0,0.0
onoff_opp_shot:_corner_three_rank_impact_weighted,0.0,0.0
onoff_team_shot:_corner_three_rank_impact_highest,0.0,0.0
onoff_team_shot:_corner_three_rank_impact_top2_avg,0.0,0.0
non_corner_rank_impact_highest,0.0,0.0
non_corner_rank_impact_top2_avg,0.0,0.0
non_corner_rank_impact_weighted,0.0,0.0
onoff_opp_shot:_non_corner_rank_impact_highest,0.0,0.0
onoff_opp_shot:_non_corner_rank_impact_top2_avg,0.0,0.0
onoff_opp_shot:_non_corner_rank_impact_weighted,0.0,0.0
onoff_team_shot:_non_corner_rank_impact_highest,0.0,0.0
onoff_team_shot:_non_corner_rank_impact_top2_avg,0.0,0.0
onoff_team_shot:_non_corner_rank_impact_weighted,0.0,0.0
